content_id,content_name,parent_id,type,platform,content_url,sheets_stage,in_mr_a,mra_chunks,mra_last_updated,action_needed
BTEM-M04.1,Symptomatic Marketing Mojo,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M04.2,G3 Order Form Mojo,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M04.3,North Star Survey,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M05.1,Offer Mojo,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M06.1,CAP Sales Mojo,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M07.1,Rainmaker Campaign Mojo,BTEM,VIDEO,KAJABI,,3,YES,1,2026-04-25,Sheets sync only (already in Mr. A)
BTEM-M10.1,Chat Mojo,BTEM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
CDODC-M01,Coffee Dates on Demand with the GIVING FUNnel _M4A,CDODC,VIDEO,KAJABI,,3,YES,39,2026-04-25,Sheets sync only (already in Mr. A)
CDODP-M01,CDOD Shindig #2,CDODP,VIDEO,KAJABI,,3,YES,25,2026-04-24,Sheets sync only (already in Mr. A)
CDODP-M02,Shindig #2,CDODP,VIDEO,KAJABI,,3,YES,24,2026-04-25,Sheets sync only (already in Mr. A)
CDODP-M02.1,Auto Coffee Date Machine Training for Cold Emails,CDODP,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
CDODP-M02.2,Clip Domains,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.3,Connecting Gmail Accounts to SmartLead and Email Warm-Up,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.4,Monitoring Inbox in SmartLead and Upgrading Subscription-nqbggzci2g,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.5,Preparing Leads and Copy for Email Campaigns-mv8i2fovc5,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.6,Preparing Leads and Creating a Smart Lead Campaign-20vteze8lc,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.7,Setting Up DNS for Domains and Google Admin Account-ivup5mto3d,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M02.8,Setting Up SmartLead Warm-Up Filter and Waiting Period-uwl34pzdqh,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODP-M03,Auto Coffee Date Machine Training for Cold Emails,CDODP,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODU-M01.1.1,BAV (Bumbly Ass Video),CDODU,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M01.1.2,NOTE_ Download Option is turned on.,CDODU,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M02,The OG RULE! - The One Give to Rule Them All (1),CDODU,VIDEO,KAJABI,,3,YES,31,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M02.1.1,Turning Free Members into Paid Members and Customers 2026-02-21T20-44-19-095Z,CDODU,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M02.1.2,How I'm Crushing $30k to $150k with Auctions in my Skool Communities 2026-02-21T20-50-15-367Z,CDODU,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M02.1.3,Open House for Money Media Moguls Starter Skool 2026-02-21T20-49-52-685Z,CDODU,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M03,More Coffee Dates with Multi-Channel Giving Taps FULL,CDODU,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODU-M03.1,BAV (Bumbly Ass Video),CDODU,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M03.2,$1 Auction Explainer Video,CDODU,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODU-M04,The OG RULE! - The One Give to Rule Them All,CDODU,VIDEO,KAJABI,,3,YES,30,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M05,CDOD Q and A,CDODU,VIDEO,KAJABI,,3,YES,30,2026-04-25,Sheets sync only (already in Mr. A)
CDODU-M06,Offer Domino,CDODU,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDODU-M06.2,Brainstorm Offer Coffee Date,CDODU,VIDEO,KAJABI,,3,NO,,,Format + Upload
CDP-M01.1,Coffee Date Breakdown,CDP,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
CKFK-M01,Welcome Kids! A short overview,CKFK,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
CKFK-M02,BEFORE YOU START WRITING - The Rudolph Song,CKFK,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
CKFK-M03,Turn the Song into a Mini-Mind-Movie,CKFK,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
CKFK-M04,Make Big Sales Fast by CONNECTING not COPYWRITING!,CKFK,VIDEO,KAJABI,,3,NO,,,Format + Upload
CKFK-M05,OPTIONAL_ The 5 P's in Pre-Selling Deep Dive Workshop,CKFK,VIDEO,KAJABI,,3,YES,36,2026-04-25,Sheets sync only (already in Mr. A)
CKFK-M06,EXAMPLE_ Charles Atlas Ad (Ran for 20+ Years),CKFK,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
CKFK-M07,EXAMPLE _ Rudolph Song on the Back Cover of Make Em Beg to Buy,CKFK,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
CKFK-M08,EXAMPLE_ Rudolph Movie that Sells a SUBSCRIPTION to COLD TRAFFIC,CKFK,VIDEO,KAJABI,,3,NO,,,Format + Upload
CKFK-M09,Example_ Successful 5P Facebook Post,CKFK,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
CKFK-M10,Kopy $hortcuts,CKFK,VIDEO,KAJABI,,3,YES,6,2026-04-25,Sheets sync only (already in Mr. A)
DAB-M01,Dale Backers and Travis - Pop Up Auctions,DAB,VIDEO,KAJABI,,3,NO,,,Format + Upload
DAB-M01.2,Travis Demo how_im_crushing_30k_to_150k_with_auctions_in_my_skool_communities,DAB,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
DAB-M02,Zoom 5 Minute Auction,DAB,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
DAB-M05,£6600 Blind Email Auction with Ryan Carruthers,DAB,VIDEO,KAJABI,,3,NO,,,Format + Upload
ENP-M01,Buy the Damn Thing_ Newsletter Purchase in 11 Minutes,ENP,VIDEO,KAJABI,,3,NO,,,Format + Upload
FBH-M01,facebook_groups_lead_gen_glitch,FBH,VIDEO,KAJABI,,3,NO,,,Format + Upload
FU-M01,Get Control of Assets until FU Position VIDEO,FU,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M01,READ FIRST_ Unblock Adobe Flash Player in Google Chrome,HOPM,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
HOPM-M02,Hopper Millions Cliff Notes,HOPM,VIDEO,KAJABI,,3,NO,,,Format + Upload
HOPM-M03,The 5 Ps in Pre-Selling (Do this before you pitch your product!),HOPM,VIDEO,KAJABI,,3,YES,9,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M04,1. Clearly Different Desirable Concept (CDDC) and T1 Idea Stimulator Worksheet & Training,HOPM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M05,2. The 3 Step UN-Plan (What are we selling from the customer's point of view_),HOPM,VIDEO,KAJABI,,3,YES,20,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M07,4. The _validation_ before creating your Sales Hopper,HOPM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M08,5. Catch up Call and 3 Main Principles of the Hopper (even if you screw everything else up),HOPM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M09,6. Invite posts to your Hopper Group,HOPM,VIDEO,KAJABI,,3,YES,20,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M10,7. Detachment and Having FUN with your Hopper,HOPM,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
HOPM-M12,"Creating FB Page, Group and Messenger all Linked Together",HOPM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
MM-312,"Jan 7, 2021 – Cold Traffic Tapping Strategy Mojo",MM,VIDEO,KAJABI,,3,NO,,,Format + Upload
MM-313,"Jan 14, 2021 – Cold Traffic Tapping Minimum Viable Funnel Mojo",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-314,"Jan 21, 2021-Cold Traffic Tapping The BAM MOMENT!",MM,VIDEO,KAJABI,,3,YES,29,2026-04-25,Sheets sync only (already in Mr. A)
MM-315,"Jan 28, 2021-Q&A Mojo",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-316,"Feb 4, 2021-Re-T1 With Benefit Mojo",MM,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
MM-317,"Feb 11, 2021-Wrong Tool For The Job Theory Mojo",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-318,"Feb 18, 2021-Tapping in Cold Traffic Mojo",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-319,"Feb 25, 2021-Mojo Mega-Sampler",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-320,"Mar 4, 2021-Open Mic Mojo",MM,VIDEO,KAJABI,,3,YES,26,2026-04-25,Sheets sync only (already in Mr. A)
MM-362,"JAN 6, 2022-Create Fun Mojo",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-363,"JAN 13, 2022-The Asset (and Authority) Multiplier Campaign",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-364,"JAN 20, 2022-C.Y.O.A.M",MM,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
MM-365,"JAN 27, 2022-The 5-minute investment yield Mojo",MM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
